timestamp,value
2009-01-03T00:00:00Z,1
2009-01-04T00:00:00Z,1
2009-01-05T00:00:00Z,1
2009-01-06T00:00:00Z,1
2009-01-07T00:00:00Z,1
2009-01-08T00:00:00Z,1
2009-01-09T00:00:00Z,15
2009-01-10T00:00:00Z,76
2009-01-11T00:00:00Z,169
2009-01-12T00:00:00Z,268
2009-01-13T00:00:00Z,391
2009-01-14T00:00:00Z,518
2009-01-15T00:00:00Z,643
2009-01-16T00:00:00Z,749
2009-01-17T00:00:00Z,858
2009-01-18T00:00:00Z,963
2009-01-19T00:00:00Z,1063
2009-01-20T00:00:00Z,1170
2009-01-21T00:00:00Z,1271
2009-01-22T00:00:00Z,1352
2009-01-23T00:00:00Z,1428
2009-01-24T00:00:00Z,1620
2009-01-25T00:00:00Z,1811
2009-01-26T00:00:00Z,1887
2009-01-27T00:00:00Z,1982
2009-01-28T00:00:00Z,2094
2009-01-29T00:00:00Z,2203
2009-01-30T00:00:00Z,2320
2009-01-31T00:00:00Z,2439
2009-02-01T00:00:00Z,2551
2009-02-02T00:00:00Z,2679
2009-02-03T00:00:00Z,2827
2009-02-04T00:00:00Z,2946
2009-02-05T00:00:00Z,3072
2009-02-06T00:00:00Z,3194
2009-02-07T00:00:00Z,3304
2009-02-08T00:00:00Z,3436
2009-02-09T00:00:00Z,3526
2009-02-10T00:00:00Z,3646
2009-02-11T00:00:00Z,3767
2009-02-12T00:00:00Z,3886
2009-02-13T00:00:00Z,4010
2009-02-14T00:00:00Z,4146
2009-02-15T00:00:00Z,4264
2009-02-16T00:00:00Z,4356
2009-02-17T00:00:00Z,4473
2009-02-18T00:00:00Z,4591
2009-02-19T00:00:00Z,4699
2009-02-20T00:00:00Z,4821
2009-02-21T00:00:00Z,4935
2009-02-22T00:00:00Z,5049
2009-02-23T00:00:00Z,5157
2009-02-24T00:00:00Z,5263
2009-02-25T00:00:00Z,5368
2009-02-26T00:00:00Z,5475
2009-02-27T00:00:00Z,5554
2009-02-28T00:00:00Z,5646
2009-03-01T00:00:00Z,5751
2009-03-02T00:00:00Z,5859
2009-03-03T00:00:00Z,5956
2009-03-04T00:00:00Z,6036
2009-03-05T00:00:00Z,6140
2009-03-06T00:00:00Z,6257
2009-03-07T00:00:00Z,6366
2009-03-08T00:00:00Z,6457
2009-03-09T00:00:00Z,6565
2009-03-10T00:00:00Z,6672
2009-03-11T00:00:00Z,6786
2009-03-12T00:00:00Z,6902
2009-03-13T00:00:00Z,7002
2009-03-14T00:00:00Z,7112
2009-03-15T00:00:00Z,7235
2009-03-16T00:00:00Z,7308
2009-03-17T00:00:00Z,7422
2009-03-18T00:00:00Z,7522
2009-03-19T00:00:00Z,7644
2009-03-20T00:00:00Z,7750
2009-03-21T00:00:00Z,7800
2009-03-22T00:00:00Z,7908
2009-03-23T00:00:00Z,8038
2009-03-24T00:00:00Z,8143
2009-03-25T00:00:00Z,8260
2009-03-26T00:00:00Z,8349
2009-03-27T00:00:00Z,8455
2009-03-28T00:00:00Z,8554
2009-03-29T00:00:00Z,8670
2009-03-30T00:00:00Z,8790
2009-03-31T00:00:00Z,8868
2009-04-01T00:00:00Z,8982
2009-04-02T00:00:00Z,9097
2009-04-03T00:00:00Z,9213
2009-04-04T00:00:00Z,9326
2009-04-05T00:00:00Z,9439
2009-04-06T00:00:00Z,9548
2009-04-07T00:00:00Z,9648
2009-04-08T00:00:00Z,9753
2009-04-09T00:00:00Z,9852
2009-04-10T00:00:00Z,9960
2009-04-11T00:00:00Z,10074
2009-04-12T00:00:00Z,10185
2009-04-13T00:00:00Z,10301
2009-04-14T00:00:00Z,10425
2009-04-15T00:00:00Z,10538
2009-04-16T00:00:00Z,10661
2009-04-17T00:00:00Z,10773
2009-04-18T00:00:00Z,10899
2009-04-19T00:00:00Z,11010
2009-04-20T00:00:00Z,11015
2009-04-21T00:00:00Z,11139
2009-04-22T00:00:00Z,11260
2009-04-23T00:00:00Z,11335
2009-04-24T00:00:00Z,11450
2009-04-25T00:00:00Z,11568
2009-04-26T00:00:00Z,11665
2009-04-27T00:00:00Z,11769
2009-04-28T00:00:00Z,11886
2009-04-29T00:00:00Z,11994
2009-04-30T00:00:00Z,12125
2009-05-01T00:00:00Z,12246
2009-05-02T00:00:00Z,12361
2009-05-03T00:00:00Z,12468
2009-05-04T00:00:00Z,12566
2009-05-05T00:00:00Z,12691
2009-05-06T00:00:00Z,12826
2009-05-07T00:00:00Z,12948
2009-05-08T00:00:00Z,13055
2009-05-09T00:00:00Z,13133
2009-05-10T00:00:00Z,13218
2009-05-11T00:00:00Z,13338
2009-05-12T00:00:00Z,13468
2009-05-13T00:00:00Z,13580
2009-05-14T00:00:00Z,13718
2009-05-15T00:00:00Z,13844
2009-05-16T00:00:00Z,13963
2009-05-17T00:00:00Z,14090
2009-05-18T00:00:00Z,14208
2009-05-19T00:00:00Z,14294
2009-05-20T00:00:00Z,14414
2009-05-21T00:00:00Z,14496
2009-05-22T00:00:00Z,14557
2009-05-23T00:00:00Z,14589
2009-05-24T00:00:00Z,14689
2009-05-25T00:00:00Z,14798
2009-05-26T00:00:00Z,14923
2009-05-27T00:00:00Z,15042
2009-05-28T00:00:00Z,15137
2009-05-29T00:00:00Z,15183
2009-05-30T00:00:00Z,15292
2009-05-31T00:00:00Z,15388
2009-06-01T00:00:00Z,15460
2009-06-02T00:00:00Z,15571
2009-06-03T00:00:00Z,15642
2009-06-04T00:00:00Z,15708
2009-06-05T00:00:00Z,15738
2009-06-06T00:00:00Z,15766
2009-06-07T00:00:00Z,15782
2009-06-08T00:00:00Z,15864
2009-06-09T00:00:00Z,15955
2009-06-10T00:00:00Z,16037
2009-06-11T00:00:00Z,16126
2009-06-12T00:00:00Z,16212
2009-06-13T00:00:00Z,16290
2009-06-14T00:00:00Z,16362
2009-06-15T00:00:00Z,16446
2009-06-16T00:00:00Z,16517
2009-06-17T00:00:00Z,16596
2009-06-18T00:00:00Z,16676
2009-06-19T00:00:00Z,16763
2009-06-20T00:00:00Z,16841
2009-06-21T00:00:00Z,16922
2009-06-22T00:00:00Z,16938
2009-06-23T00:00:00Z,17014
2009-06-24T00:00:00Z,17108
2009-06-25T00:00:00Z,17156
2009-06-26T00:00:00Z,17246
2009-06-27T00:00:00Z,17330
2009-06-28T00:00:00Z,17377
2009-06-29T00:00:00Z,17461
2009-06-30T00:00:00Z,17543
2009-07-01T00:00:00Z,17615
2009-07-02T00:00:00Z,17699
2009-07-03T00:00:00Z,17781
2009-07-04T00:00:00Z,17870
2009-07-05T00:00:00Z,17949
2009-07-06T00:00:00Z,18033
2009-07-07T00:00:00Z,18102
2009-07-08T00:00:00Z,18176
2009-07-09T00:00:00Z,18262
2009-07-10T00:00:00Z,18343
2009-07-11T00:00:00Z,18426
2009-07-12T00:00:00Z,18503
2009-07-13T00:00:00Z,18581
2009-07-14T00:00:00Z,18650
2009-07-15T00:00:00Z,18695
2009-07-16T00:00:00Z,18766
2009-07-17T00:00:00Z,18813
2009-07-18T00:00:00Z,18817
2009-07-19T00:00:00Z,18887
2009-07-20T00:00:00Z,18837
2009-07-21T00:00:00Z,18919
2009-07-22T00:00:00Z,18979
2009-07-23T00:00:00Z,19055
2009-07-24T00:00:00Z,19128
2009-07-25T00:00:00Z,19160
2009-07-26T00:00:00Z,19181
2009-07-27T00:00:00Z,19255
2009-07-28T00:00:00Z,19296
2009-07-29T00:00:00Z,19314
2009-07-30T00:00:00Z,19330
2009-07-31T00:00:00Z,19347
2009-08-01T00:00:00Z,19375
2009-08-02T00:00:00Z,19398
2009-08-03T00:00:00Z,19410
2009-08-04T00:00:00Z,19491
2009-08-05T00:00:00Z,19578
2009-08-06T00:00:00Z,19668
2009-08-07T00:00:00Z,19638
2009-08-08T00:00:00Z,19718
2009-08-09T00:00:00Z,19819
2009-08-10T00:00:00Z,19894
2009-08-11T00:00:00Z,19964
2009-08-12T00:00:00Z,20027
2009-08-13T00:00:00Z,20112
2009-08-14T00:00:00Z,20175
2009-08-15T00:00:00Z,20201
2009-08-16T00:00:00Z,20220
2009-08-17T00:00:00Z,20237
2009-08-18T00:00:00Z,20247
2009-08-19T00:00:00Z,20265
2009-08-20T00:00:00Z,20287
2009-08-21T00:00:00Z,20301
2009-08-22T00:00:00Z,20308
2009-08-23T00:00:00Z,20323
2009-08-24T00:00:00Z,20338
2009-08-25T00:00:00Z,20388
2009-08-26T00:00:00Z,20391
2009-08-27T00:00:00Z,20420
2009-08-28T00:00:00Z,20495
2009-08-29T00:00:00Z,20573
2009-08-30T00:00:00Z,20669
2009-08-31T00:00:00Z,20749
2009-09-01T00:00:00Z,20827
2009-09-02T00:00:00Z,20893
2009-09-03T00:00:00Z,20940
2009-09-04T00:00:00Z,21004
2009-09-05T00:00:00Z,21080
2009-09-06T00:00:00Z,21148
2009-09-07T00:00:00Z,21213
2009-09-08T00:00:00Z,21282
2009-09-09T00:00:00Z,21336
2009-09-10T00:00:00Z,21403
2009-09-11T00:00:00Z,21470
2009-09-12T00:00:00Z,21539
2009-09-13T00:00:00Z,21614
2009-09-14T00:00:00Z,21688
2009-09-15T00:00:00Z,21732
2009-09-16T00:00:00Z,21803
2009-09-17T00:00:00Z,21787
2009-09-18T00:00:00Z,21865
2009-09-19T00:00:00Z,21939
2009-09-20T00:00:00Z,22017
2009-09-21T00:00:00Z,22078
2009-09-22T00:00:00Z,22063
2009-09-23T00:00:00Z,22099
2009-09-24T00:00:00Z,22196
2009-09-25T00:00:00Z,22261
2009-09-26T00:00:00Z,22361
2009-09-27T00:00:00Z,22432
2009-09-28T00:00:00Z,22517
2009-09-29T00:00:00Z,22562
2009-09-30T00:00:00Z,22647
2009-10-01T00:00:00Z,22729
2009-10-02T00:00:00Z,22791
2009-10-03T00:00:00Z,22849
2009-10-04T00:00:00Z,22902
2009-10-05T00:00:00Z,22957
2009-10-06T00:00:00Z,22987
2009-10-07T00:00:00Z,23047
2009-10-08T00:00:00Z,23117
2009-10-09T00:00:00Z,23196
2009-10-10T00:00:00Z,23273
2009-10-11T00:00:00Z,23347
2009-10-12T00:00:00Z,23333
2009-10-13T00:00:00Z,23390
2009-10-14T00:00:00Z,23459
2009-10-15T00:00:00Z,23530
2009-10-16T00:00:00Z,23511
2009-10-17T00:00:00Z,23568
2009-10-18T00:00:00Z,23635
2009-10-19T00:00:00Z,23747
2009-10-20T00:00:00Z,23742
2009-10-21T00:00:00Z,23804
2009-10-22T00:00:00Z,23856
2009-10-23T00:00:00Z,23945
2009-10-24T00:00:00Z,24001
2009-10-25T00:00:00Z,24077
2009-10-26T00:00:00Z,24148
2009-10-27T00:00:00Z,24197
2009-10-28T00:00:00Z,24263
2009-10-29T00:00:00Z,24268
2009-10-30T00:00:00Z,24328
2009-10-31T00:00:00Z,24374
2009-11-01T00:00:00Z,24399
2009-11-02T00:00:00Z,24432
2009-11-03T00:00:00Z,24494
2009-11-04T00:00:00Z,24517
2009-11-05T00:00:00Z,24574
2009-11-06T00:00:00Z,24636
2009-11-07T00:00:00Z,24705
2009-11-08T00:00:00Z,24778
2009-11-09T00:00:00Z,24842
2009-11-10T00:00:00Z,24920
2009-11-11T00:00:00Z,24934
2009-11-12T00:00:00Z,25000
2009-11-13T00:00:00Z,25070
2009-11-14T00:00:00Z,25149
2009-11-15T00:00:00Z,25245
2009-11-16T00:00:00Z,25342
2009-11-17T00:00:00Z,25434
2009-11-18T00:00:00Z,25513
2009-11-19T00:00:00Z,25503
2009-11-20T00:00:00Z,25589
2009-11-21T00:00:00Z,25662
2009-11-22T00:00:00Z,25768
2009-11-23T00:00:00Z,25864
2009-11-24T00:00:00Z,25957
2009-11-25T00:00:00Z,26047
2009-11-26T00:00:00Z,26131
2009-11-27T00:00:00Z,26205
2009-11-28T00:00:00Z,26276
2009-11-29T00:00:00Z,26336
2009-11-30T00:00:00Z,26411
2009-12-01T00:00:00Z,26322
2009-12-02T00:00:00Z,26416
2009-12-03T00:00:00Z,26504
2009-12-04T00:00:00Z,26540
2009-12-05T00:00:00Z,26588
2009-12-06T00:00:00Z,26690
2009-12-07T00:00:00Z,26802
2009-12-08T00:00:00Z,26877
2009-12-09T00:00:00Z,26969
2009-12-10T00:00:00Z,27073
2009-12-11T00:00:00Z,27185
2009-12-12T00:00:00Z,27229
2009-12-13T00:00:00Z,27343
2009-12-14T00:00:00Z,27119
2009-12-15T00:00:00Z,27225
2009-12-16T00:00:00Z,27345
2009-12-17T00:00:00Z,27511
2009-12-18T00:00:00Z,27736
2009-12-19T00:00:00Z,27933
2009-12-20T00:00:00Z,28108
2009-12-21T00:00:00Z,28283
2009-12-22T00:00:00Z,28445
2009-12-23T00:00:00Z,28599
2009-12-24T00:00:00Z,28753
2009-12-25T00:00:00Z,28903
2009-12-26T00:00:00Z,29077
2009-12-27T00:00:00Z,29240
2009-12-28T00:00:00Z,29377
2009-12-29T00:00:00Z,29548
2009-12-30T00:00:00Z,29689
2009-12-31T00:00:00Z,29827
2010-01-01T00:00:00Z,29959
2010-01-02T00:00:00Z,30085
2010-01-03T00:00:00Z,30271
2010-01-04T00:00:00Z,30372
2010-01-05T00:00:00Z,30570
